('AMAR      ', 'Amarillamiento                                              ', 'O')
('BOTRYTIS  ', 'Botrytis cinerea                                            ', 'E')
('BROTEPI   ', 'Brotes epic\xf3rnicos                                          ', 'O')
('CANCROS   ', 'Varios                                                      ', 'E')
('CARPOFO   ', 'Varios                                                      ', 'E')
('CINARA    ', 'Cinara spp.                                                 ', 'P')
('CONYOTH   ', 'Conyothirium zuluense                                       ', 'E')
('CTENARY   ', 'Ctenaytaina spp.                                            ', 'P')
('DA\xd1AN     ', 'Da\xf1os por animales                                          ', 'O')
('DESF      ', '% de copa presente                                          ', 'O')
('DYSCINET  ', 'Dyscinetus gagates                                          ', 'P')
('EXU       ', 'Exudados                                                    ', 'O')
('EXUDADO   ', 'Varios                                                      ', 'E')
('FUE       ', 'Fuego                                                       ', 'O')
('GLYCASP   ', 'Glycaspis                                                   ', 'P')
('GONIPTE   ', 'Gonipterus scutellatus                                      ', 'P')
('GRA       ', 'Granizo                                                     ', 'O')
('HEL       ', 'Heladas                                                     ', 'O')
('HOR       ', 'Atta spp. y Acromyrmex spp.                                 ', 'P')
('MUEDES    ', 'Muerte descendente                                          ', 'O')
('OTROS EU  ', 'Varios                                                      ', 'E')
('OTROS PI  ', 'Varios                                                      ', 'E')
('PANTOEA   ', 'Pantoea anantis                                             ', 'E')
('PATO ACIC ', 'Varios                                                      ', 'E')
('PATO FOLI ', 'Patogenos Foliares - Varias                                 ', 'E')
('PATO SUE  ', 'Varios                                                      ', 'E')
('PHORACA   ', 'Phoracantha spp.                                            ', 'P')
('PISSODES  ', 'Pissodes castaneus                                          ', 'P')
('PUCCINIA  ', 'Puccinia psidii                                             ', 'E')
('RAJ       ', 'Rajaduras de corteza                                        ', 'O')
('RHYACIO   ', 'Rhyacionia buoliana                                         ', 'P')
('SEQ       ', 'Sequ\xeda                                                      ', 'O')
('SHAEROP   ', 'Shaeropsis sapinea                                          ', 'E')
('SIREX     ', 'Sirex noctilio                                              ', 'P')
('SPHAE_RHYA', 'Sphaeropsis/Rhyacionia                                      ', 'E')
('VEN       ', 'Viento                                                      ', 'O')
