(1, 1, 1975, 'F', 5, Decimal('-56.8411'), Decimal('-31.6086'), False, None)
(2, 2, 1975, 'C', 5, Decimal('-54.8426'), Decimal('-34.0573'), False, None)
(3, 3, 1976, 'F', 2, Decimal('-56.9678'), Decimal('-31.0156'), False, None)
(4, 4, 1975, 'K', 9, Decimal('-59.1663'), Decimal('-33.2035'), False, None)
(6, 5, 1975, 'I', 4, Decimal('-58.1590'), Decimal('-34.0154'), False, None)
(7, 6, 1976, 'I', 3, Decimal('-58.7249'), Decimal('-32.4230'), False, None)
(8, 7, 1975, 'J', 2, None, None, False, None)
(9, 8, 1975, 'J', 2, None, None, False, None)
(10, 9, 1975, 'I', 4, None, None, False, None)
(11, 10, 1975, 'I', 1, None, None, False, None)
(12, 11, 1975, 'J', 8, Decimal('-58.3755'), Decimal('-32.7149'), False, None)
(13, 12, 1976, 'I', 5, Decimal('-58.2952'), Decimal('-32.3342'), False, None)
(14, 13, 1975, 'I', 3, Decimal('-58.8959'), Decimal('-32.1798'), False, None)
(15, 14, 1975, 'J', 6, Decimal('-58.6550'), Decimal('-32.4535'), False, None)
(16, 15, 1981, 'I', 3, Decimal('-58.5514'), Decimal('-32.3961'), False, None)
(17, 16, 1976, 'I', 10, Decimal('-58.8499'), Decimal('-31.9693'), False, None)
(18, 17, 1975, 'E', 8, Decimal('-56.1493'), Decimal('-32.5419'), False, None)
(19, 18, 1975, 'B', 5, None, None, False, None)
(20, 19, 1975, 'k', 9, None, None, False, None)
(21, 20, 1975, 'K', 9, Decimal('-58.8523'), Decimal('-33.2406'), False, None)
(22, 21, 1975, 'I', 3, Decimal('-58.7266'), Decimal('-32.4244'), False, None)
(23, 22, 1975, 'A', 8, Decimal('-56.8709'), Decimal('-34.7172'), False, None)
(24, 23, 1975, 'R', 4, None, None, False, None)
(25, 24, 1975, 'F', 2, None, None, False, None)
(26, 25, 1975, 'I', 5, None, None, False, None)
(27, 26, 1975, 'M', 6, Decimal('-57.7288'), Decimal('-34.7228'), False, None)
(28, 27, 1975, 'Q', 5, Decimal('-56.9639'), Decimal('-32.7866'), False, None)
(29, 28, 1975, 'R', 4, Decimal('-56.8702'), Decimal('-31.6582'), False, None)
(30, 29, 1975, 'I', 3, Decimal('-58.7033'), Decimal('-32.3963'), False, None)
(31, 30, 1975, 'J', 4, Decimal('-58.5731'), Decimal('-32.5681'), False, None)
(32, 31, 1975, 'R', 2, Decimal('-57.2295'), Decimal('-31.9557'), False, None)
(33, 32, 1975, 'P', 11, Decimal('-57.0913'), Decimal('-32.2025'), False, None)
(34, 33, 1975, 'R', 9, Decimal('-57.1839'), Decimal('-32.1650'), False, None)
(35, 34, 1975, 'Q', 3, Decimal('-57.6896'), Decimal('-32.9864'), False, None)
(36, 35, 1975, 'R', 2, Decimal('-57.2190'), Decimal('-31.9204'), False, None)
(37, 36, 1975, 'R', 2, Decimal('-57.0408'), Decimal('-31.9477'), False, None)
(38, 37, 1975, 'I', 3, Decimal('-58.8095'), Decimal('-32.3213'), False, None)
(39, 38, 1975, 'J', 8, None, None, False, None)
(40, 39, 1975, 'Q', 6, Decimal('-56.8120'), Decimal('-32.8303'), False, None)
(41, 40, 1975, 'I', 3, Decimal('-58.7605'), Decimal('-32.3618'), False, None)
(42, 41, 1975, 'R', 2, Decimal('-57.0844'), Decimal('-31.8531'), False, None)
(43, 42, 1975, 'Q', 5, Decimal('-57.1168'), Decimal('-32.8287'), False, None)
