(1L, 1L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('2.00'), Decimal('1.00'), Decimal('4.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('5.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'))
(2L, 1L, 'DAP       ', Decimal('12.90'), Decimal('92.00'), 'A', 2, 0, Decimal('12.50'), Decimal('18.50'), Decimal('0.00'), Decimal('17.00'), Decimal('10.50'), Decimal('11.50'), Decimal('13.50'), Decimal('0.00'), Decimal('10.80'), Decimal('11.00'), Decimal('13.50'), Decimal('11.00'), Decimal('12.60'), Decimal('16.40'), Decimal('15.00'), Decimal('9.00'), Decimal('11.00'), Decimal('13.00'), Decimal('14.80'), Decimal('13.00'), Decimal('14.20'), Decimal('9.00'), Decimal('14.70'), Decimal('12.80'), Decimal('11.50'))
(39L, 9L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('1.00'), Decimal('0.00'), Decimal('1.00'), Decimal('0.00'), Decimal('2.00'), Decimal('1.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('1.00'), Decimal('4.00'), Decimal('2.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'), Decimal('3.00'), Decimal('1.00'), Decimal('4.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'))
(40L, 9L, 'DAP       ', Decimal('15.61'), Decimal('100.00'), 'A', 2, 0, Decimal('25.00'), Decimal('20.50'), Decimal('0.00'), Decimal('0.00'), Decimal('15.50'), Decimal('24.00'), Decimal('0.00'), Decimal('0.00'), Decimal('16.50'), Decimal('0.00'), Decimal('16.50'), Decimal('20.00'), Decimal('4.00'), Decimal('19.50'), Decimal('6.00'), Decimal('6.00'), Decimal('7.00'), Decimal('19.50'), Decimal('20.00'), Decimal('17.00'), Decimal('25.00'), Decimal('8.50'), Decimal('10.00'), Decimal('16.00'), Decimal('0.00'))
(41L, 9L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('5.00'), Decimal('2.00'), Decimal('2.00'), Decimal('5.00'), Decimal('5.00'), Decimal('1.00'), Decimal('1.00'), Decimal('4.00'), Decimal('2.00'), Decimal('5.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'))
(42L, 9L, 'DESF      ', Decimal('3.11'), Decimal('100.00'), 'O', 4, 3, Decimal('4.00'), Decimal('0.00'), Decimal('4.00'), Decimal('0.00'), Decimal('3.00'), Decimal('4.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('4.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('4.00'), Decimal('2.00'), Decimal('5.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'))
(43L, 10L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'))
(44L, 10L, 'DAP       ', Decimal('26.70'), Decimal('100.00'), 'A', 2, 0, Decimal('27.00'), Decimal('27.00'), Decimal('33.00'), Decimal('25.00'), Decimal('23.00'), Decimal('30.00'), Decimal('40.00'), Decimal('29.50'), Decimal('14.50'), Decimal('27.00'), Decimal('13.00'), Decimal('29.50'), Decimal('19.50'), Decimal('29.00'), Decimal('24.00'), Decimal('33.50'), Decimal('29.00'), Decimal('19.00'), Decimal('28.50'), Decimal('24.50'), Decimal('29.00'), Decimal('37.00'), Decimal('17.80'), Decimal('24.60'), Decimal('33.50'))
(45L, 10L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'))
(46L, 10L, 'DESF      ', Decimal('3.12'), Decimal('100.00'), 'O', 4, 3, Decimal('4.00'), Decimal('4.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('4.00'), Decimal('3.00'), Decimal('4.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'))
(1095L, 10L, 'DESF      ', None, None, 'O', 5, None, Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'))
