(1, 'A', 1, 2005, Decimal('0.0'))
(1, 'A', 1, 2006, Decimal('0.0'))
(1, 'A', 1, 2007, Decimal('0.0'))
(1, 'A', 1, 2008, Decimal('0.0'))
(1, 'A', 1, 2009, Decimal('0.0'))
(1, 'A', 1, 2010, Decimal('0.0'))
(1, 'A', 1, 2011, Decimal('0.0'))
(1, 'A', 1, 2012, Decimal('0.0'))
(1, 'A', 1, 2013, Decimal('0.0'))
(1, 'A', 1, 2014, Decimal('0.0'))
(1, 'A', 1, 2015, Decimal('0.0'))
(1, 'A', 1, 2016, Decimal('0.0'))
(1, 'A', 1, 2017, Decimal('0.0'))
(1, 'A', 1, 2018, Decimal('0.0'))
(1, 'A', 1, 2019, Decimal('0.0'))
(1, 'A', 1, 2020, Decimal('0.0'))
(1, 'A', 2, 2005, Decimal('0.0'))
(1, 'A', 2, 2006, Decimal('0.0'))
(1, 'A', 2, 2007, Decimal('0.0'))
(1, 'A', 2, 2008, Decimal('0.0'))
(1, 'A', 2, 2009, Decimal('0.0'))
(1, 'A', 2, 2010, Decimal('0.0'))
(1, 'A', 2, 2011, Decimal('0.0'))
(1, 'A', 2, 2012, Decimal('0.0'))
(1, 'A', 2, 2013, Decimal('0.0'))
(1, 'A', 2, 2014, Decimal('0.0'))
(1, 'A', 2, 2015, Decimal('0.0'))
(1, 'A', 2, 2016, Decimal('0.0'))
(1, 'A', 2, 2017, Decimal('0.0'))
(1, 'A', 2, 2018, Decimal('0.0'))
(1, 'A', 2, 2019, Decimal('0.0'))
(1, 'A', 2, 2020, Decimal('0.0'))
(1, 'A', 3, 2005, Decimal('0.0'))
(1, 'A', 3, 2006, Decimal('0.0'))
(1, 'A', 3, 2007, Decimal('0.0'))
(1, 'A', 3, 2008, Decimal('0.0'))
(1, 'A', 3, 2009, Decimal('0.0'))
(1, 'A', 3, 2010, Decimal('0.0'))
(1, 'A', 3, 2011, Decimal('0.0'))
(1, 'A', 3, 2012, Decimal('0.0'))
(1, 'A', 3, 2013, Decimal('0.0'))
(1, 'A', 3, 2014, Decimal('0.0'))
(1, 'A', 3, 2015, Decimal('0.0'))
(1, 'A', 3, 2016, Decimal('0.0'))
(1, 'A', 3, 2017, Decimal('0.0'))
(1, 'A', 3, 2018, Decimal('0.0'))
(1, 'A', 3, 2019, Decimal('0.0'))
(1, 'A', 3, 2020, Decimal('0.0'))
(1, 'A', 4, 2005, Decimal('0.0'))
(1, 'A', 4, 2006, Decimal('0.0'))
(1, 'A', 4, 2007, Decimal('0.0'))
(1, 'A', 4, 2008, Decimal('0.0'))
(1, 'A', 4, 2009, Decimal('0.0'))
(1, 'A', 4, 2010, Decimal('0.0'))
(1, 'A', 4, 2011, Decimal('0.0'))
(1, 'A', 4, 2012, Decimal('0.0'))
(1, 'A', 4, 2013, Decimal('0.0'))
(1, 'A', 4, 2014, Decimal('0.0'))
(1, 'A', 4, 2015, Decimal('0.0'))
(1, 'A', 4, 2016, Decimal('0.0'))
(1, 'A', 4, 2017, Decimal('0.0'))
(1, 'A', 4, 2018, Decimal('0.0'))
(1, 'A', 4, 2019, Decimal('0.0'))
(1, 'A', 4, 2020, Decimal('0.0'))
(1, 'B', 1, 2005, Decimal('0.0'))
(1, 'B', 1, 2006, Decimal('0.0'))
(1, 'B', 1, 2007, Decimal('0.0'))
(1, 'B', 1, 2008, Decimal('0.0'))
(1, 'B', 1, 2009, Decimal('0.0'))
(1, 'B', 1, 2010, Decimal('0.0'))
(1, 'B', 1, 2011, Decimal('0.0'))
(1, 'B', 1, 2012, Decimal('0.0'))
(1, 'B', 1, 2013, Decimal('0.0'))
(1, 'B', 1, 2014, Decimal('0.0'))
(1, 'B', 1, 2015, Decimal('0.0'))
(1, 'B', 1, 2016, Decimal('0.0'))
(1, 'B', 1, 2017, Decimal('0.0'))
(1, 'B', 1, 2018, Decimal('0.0'))
(1, 'B', 1, 2019, Decimal('0.0'))
(1, 'B', 1, 2020, Decimal('0.0'))
(1, 'B', 2, 2005, Decimal('0.0'))
(1, 'B', 2, 2006, Decimal('0.0'))
(1, 'B', 2, 2007, Decimal('0.0'))
(1, 'B', 2, 2008, Decimal('0.0'))
(1, 'B', 2, 2009, Decimal('0.0'))
(1, 'B', 2, 2010, Decimal('0.0'))
(1, 'B', 2, 2011, Decimal('0.0'))
(1, 'B', 2, 2012, Decimal('0.0'))
(1, 'B', 2, 2013, Decimal('0.0'))
(1, 'B', 2, 2014, Decimal('0.0'))
(1, 'B', 2, 2015, Decimal('0.0'))
(1, 'B', 2, 2016, Decimal('0.0'))
(1, 'B', 2, 2017, Decimal('0.0'))
(1, 'B', 2, 2018, Decimal('0.0'))
(1, 'B', 2, 2019, Decimal('0.0'))
(1, 'B', 2, 2020, Decimal('0.0'))
(1, 'B', 3, 2005, Decimal('0.0'))
(1, 'B', 3, 2006, Decimal('0.0'))
(1, 'B', 3, 2007, Decimal('0.0'))
(1, 'B', 3, 2008, Decimal('0.0'))
(1, 'B', 3, 2009, Decimal('0.0'))
(1, 'B', 3, 2010, Decimal('0.0'))
(1, 'B', 3, 2011, Decimal('0.0'))
(1, 'B', 3, 2012, Decimal('0.0'))
(1, 'B', 3, 2013, Decimal('0.0'))
(1, 'B', 3, 2014, Decimal('0.0'))
(1, 'B', 3, 2015, Decimal('0.0'))
(1, 'B', 3, 2016, Decimal('0.0'))
(1, 'B', 3, 2017, Decimal('0.0'))
(1, 'B', 3, 2018, Decimal('0.0'))
(1, 'B', 3, 2019, Decimal('0.0'))
(1, 'B', 3, 2020, Decimal('0.0'))
(1, 'B', 4, 2005, Decimal('0.0'))
(1, 'B', 4, 2006, Decimal('0.0'))
(1, 'B', 4, 2007, Decimal('0.0'))
(1, 'B', 4, 2008, Decimal('0.0'))
(1, 'B', 4, 2009, Decimal('0.0'))
(1, 'B', 4, 2010, Decimal('0.0'))
(1, 'B', 4, 2011, Decimal('0.0'))
(1, 'B', 4, 2012, Decimal('62.8'))
(1, 'B', 4, 2013, Decimal('0.0'))
(1, 'B', 4, 2014, Decimal('0.0'))
(1, 'B', 4, 2015, Decimal('0.0'))
(1, 'B', 4, 2016, Decimal('0.0'))
(1, 'B', 4, 2017, Decimal('0.0'))
(1, 'B', 4, 2018, Decimal('0.0'))
(1, 'B', 4, 2019, Decimal('0.0'))
(1, 'B', 4, 2020, Decimal('0.0'))
(1, 'C', 1, 2005, Decimal('750.0'))
(1, 'C', 1, 2006, Decimal('750.0'))
(1, 'C', 1, 2007, Decimal('750.0'))
(1, 'C', 1, 2008, Decimal('750.0'))
(1, 'C', 1, 2009, Decimal('750.0'))
(1, 'C', 1, 2010, Decimal('750.0'))
(1, 'C', 1, 2011, Decimal('750.0'))
(1, 'C', 1, 2012, Decimal('750.0'))
(1, 'C', 1, 2013, Decimal('750.0'))
(1, 'C', 1, 2014, Decimal('750.0'))
(1, 'C', 1, 2015, Decimal('750.0'))
(1, 'C', 1, 2016, Decimal('0.0'))
(1, 'C', 1, 2017, Decimal('0.0'))
(1, 'C', 1, 2018, Decimal('0.0'))
(1, 'C', 1, 2019, Decimal('0.0'))
(1, 'C', 1, 2020, Decimal('0.0'))
(1, 'C', 2, 2005, Decimal('0.0'))
(1, 'C', 2, 2006, Decimal('0.0'))
(1, 'C', 2, 2007, Decimal('0.0'))
(1, 'C', 2, 2008, Decimal('0.0'))
(1, 'C', 2, 2009, Decimal('0.0'))
(1, 'C', 2, 2010, Decimal('0.0'))
(1, 'C', 2, 2011, Decimal('0.0'))
(1, 'C', 2, 2012, Decimal('0.0'))
(1, 'C', 2, 2013, Decimal('0.0'))
(1, 'C', 2, 2014, Decimal('0.0'))
(1, 'C', 2, 2015, Decimal('0.0'))
(1, 'C', 2, 2016, Decimal('0.0'))
(1, 'C', 2, 2017, Decimal('0.0'))
(1, 'C', 2, 2018, Decimal('0.0'))
(1, 'C', 2, 2019, Decimal('0.0'))
(1, 'C', 2, 2020, Decimal('0.0'))
(1, 'C', 3, 2005, Decimal('0.0'))
(1, 'C', 3, 2006, Decimal('0.0'))
(1, 'C', 3, 2007, Decimal('0.0'))
(1, 'C', 3, 2008, Decimal('0.0'))
(1, 'C', 3, 2009, Decimal('0.0'))
(1, 'C', 3, 2010, Decimal('0.0'))
(1, 'C', 3, 2011, Decimal('0.0'))
(1, 'C', 3, 2012, Decimal('0.0'))
(1, 'C', 3, 2013, Decimal('0.0'))
(1, 'C', 3, 2014, Decimal('0.0'))
(1, 'C', 3, 2015, Decimal('0.0'))
(1, 'C', 3, 2016, Decimal('0.0'))
(1, 'C', 3, 2017, Decimal('0.0'))
(1, 'C', 3, 2018, Decimal('0.0'))
(1, 'C', 3, 2019, Decimal('0.0'))
(1, 'C', 3, 2020, Decimal('0.0'))
(1, 'C', 4, 2005, Decimal('0.0'))
(1, 'C', 4, 2006, Decimal('0.0'))
(1, 'C', 4, 2007, Decimal('0.0'))
(1, 'C', 4, 2008, Decimal('0.0'))
(1, 'C', 4, 2009, Decimal('0.0'))
(1, 'C', 4, 2010, Decimal('0.0'))
(1, 'C', 4, 2011, Decimal('0.0'))
(1, 'C', 4, 2012, Decimal('0.0'))
(1, 'C', 4, 2013, Decimal('0.0'))
(1, 'C', 4, 2014, Decimal('6.1'))
(1, 'C', 4, 2015, Decimal('0.0'))
(1, 'C', 4, 2016, Decimal('0.0'))
(1, 'C', 4, 2017, Decimal('0.0'))
(1, 'C', 4, 2018, Decimal('0.0'))
(1, 'C', 4, 2019, Decimal('0.0'))
(1, 'C', 4, 2020, Decimal('0.0'))
(1, 'D', 1, 2005, Decimal('284.5'))
(1, 'D', 1, 2006, Decimal('284.5'))
(1, 'D', 1, 2007, Decimal('284.5'))
(1, 'D', 1, 2008, Decimal('284.5'))
(1, 'D', 1, 2009, Decimal('284.5'))
(1, 'D', 1, 2010, Decimal('284.5'))
(1, 'D', 1, 2011, Decimal('284.5'))
(1, 'D', 1, 2012, Decimal('284.5'))
(1, 'D', 1, 2013, Decimal('284.5'))
(1, 'D', 1, 2014, Decimal('284.5'))
(1, 'D', 1, 2015, Decimal('284.5'))
(1, 'D', 1, 2016, Decimal('0.0'))
(1, 'D', 1, 2017, Decimal('0.0'))
(1, 'D', 1, 2018, Decimal('0.0'))
(1, 'D', 1, 2019, Decimal('0.0'))
(1, 'D', 1, 2020, Decimal('0.0'))
(1, 'D', 2, 2005, Decimal('0.0'))
(1, 'D', 2, 2006, Decimal('0.0'))
(1, 'D', 2, 2007, Decimal('0.0'))
(1, 'D', 2, 2008, Decimal('0.0'))
(1, 'D', 2, 2009, Decimal('0.0'))
(1, 'D', 2, 2010, Decimal('0.0'))
(1, 'D', 2, 2011, Decimal('0.0'))
(1, 'D', 2, 2012, Decimal('0.0'))
(1, 'D', 2, 2013, Decimal('0.0'))
(1, 'D', 2, 2014, Decimal('0.0'))
(1, 'D', 2, 2015, Decimal('0.0'))
(1, 'D', 2, 2016, Decimal('0.0'))
(1, 'D', 2, 2017, Decimal('0.0'))
(1, 'D', 2, 2018, Decimal('0.0'))
(1, 'D', 2, 2019, Decimal('0.0'))
(1, 'D', 2, 2020, Decimal('0.0'))
(1, 'D', 3, 2005, Decimal('0.0'))
(1, 'D', 3, 2006, Decimal('0.0'))
(1, 'D', 3, 2007, Decimal('0.0'))
(1, 'D', 3, 2008, Decimal('0.0'))
(1, 'D', 3, 2009, Decimal('0.0'))
(1, 'D', 3, 2010, Decimal('0.0'))
(1, 'D', 3, 2011, Decimal('0.0'))
(1, 'D', 3, 2012, Decimal('0.0'))
(1, 'D', 3, 2013, Decimal('0.0'))
(1, 'D', 3, 2014, Decimal('0.0'))
(1, 'D', 3, 2015, Decimal('0.0'))
(1, 'D', 3, 2016, Decimal('0.0'))
(1, 'D', 3, 2017, Decimal('0.0'))
(1, 'D', 3, 2018, Decimal('0.0'))
(1, 'D', 3, 2019, Decimal('0.0'))
(1, 'D', 3, 2020, Decimal('0.0'))
(1, 'D', 4, 2005, Decimal('0.0'))
(1, 'D', 4, 2006, Decimal('0.0'))
(1, 'D', 4, 2007, Decimal('0.0'))
(1, 'D', 4, 2008, Decimal('0.0'))
(1, 'D', 4, 2009, Decimal('0.0'))
(1, 'D', 4, 2010, Decimal('0.0'))
(1, 'D', 4, 2011, Decimal('0.0'))
(1, 'D', 4, 2012, Decimal('0.0'))
(1, 'D', 4, 2013, Decimal('3.9'))
(1, 'D', 4, 2014, Decimal('0.0'))
(1, 'D', 4, 2015, Decimal('0.0'))
(1, 'D', 4, 2016, Decimal('0.0'))
(1, 'D', 4, 2017, Decimal('0.0'))
(1, 'D', 4, 2018, Decimal('0.0'))
(1, 'D', 4, 2019, Decimal('0.0'))
(1, 'D', 4, 2020, Decimal('0.0'))
(1, 'E', 1, 2005, Decimal('2.5'))
(1, 'E', 1, 2006, Decimal('2.5'))
(1, 'E', 1, 2007, Decimal('2.5'))
(1, 'E', 1, 2008, Decimal('2.5'))
(1, 'E', 1, 2009, Decimal('2.5'))
(1, 'E', 1, 2010, Decimal('2.5'))
(1, 'E', 1, 2011, Decimal('2.5'))
(1, 'E', 1, 2012, Decimal('2.5'))
(1, 'E', 1, 2013, Decimal('2.5'))
(1, 'E', 1, 2014, Decimal('2.5'))
(1, 'E', 1, 2015, Decimal('2.5'))
(1, 'E', 1, 2016, Decimal('0.0'))
(1, 'E', 1, 2017, Decimal('0.0'))
(1, 'E', 1, 2018, Decimal('0.0'))
(1, 'E', 1, 2019, Decimal('0.0'))
(1, 'E', 1, 2020, Decimal('0.0'))
(1, 'E', 2, 2005, Decimal('1.5'))
(1, 'E', 2, 2006, Decimal('1.5'))
(1, 'E', 2, 2007, Decimal('1.5'))
(1, 'E', 2, 2008, Decimal('1.5'))
(1, 'E', 2, 2009, Decimal('1.5'))
(1, 'E', 2, 2010, Decimal('1.5'))
(1, 'E', 2, 2011, Decimal('2.0'))
