(1L, 11L, 'GONIPTE   ', Decimal('2.59'), 'P', 1)
(3L, 11L, 'RAJ       ', Decimal('0.34'), 'O', 2)
(4L, 2L, 'GONIPTE   ', Decimal('0.31'), 'P', 1)
(5L, 2L, 'PATO FOLI ', Decimal('0.46'), 'E', 2)
(6L, 5L, 'GONIPTE   ', Decimal('2.84'), 'P', 1)
(7L, 5L, 'CONYOTH   ', Decimal('5.28'), 'E', 2)
(8L, 12L, 'DESF      ', Decimal('0.94'), 'O', 1)
(9L, 13L, 'DESF      ', Decimal('3.33'), 'O', 1)
(10L, 13L, 'BROTEPI   ', Decimal('0.13'), 'O', 2)
(11L, 13L, 'VEN       ', Decimal('0.00'), 'O', 3)
(12L, 13L, 'GRA       ', Decimal('0.00'), 'O', 4)
(30L, 13L, 'BOTRYTIS  ', None, 'E', 22)
(320L, 44L, 'DESF      ', Decimal('100.00'), 'O', 1)
(33L, 16L, 'BROTEPI   ', None, 'O', 1)
(47L, 18L, 'DESF      ', Decimal('0.90'), 'O', 3)
(35L, 16L, 'EXU       ', Decimal('0.31'), 'O', 3)
(40L, 16L, 'DESF      ', None, 'O', 5)
(325L, 26L, 'DESF      ', Decimal('3.73'), 'O', 1)
(42L, 18L, 'EXU       ', Decimal('0.94'), 'O', 1)
(43L, 18L, 'GRA       ', None, 'O', 2)
(48L, 18L, 'BROTEPI   ', None, 'O', 4)
(49L, 18L, 'GONIPTE   ', Decimal('0.94'), 'P', 5)
(50L, 18L, 'PUCCINIA  ', Decimal('0.94'), 'E', 6)
(51L, 18L, 'PATO FOLI ', Decimal('0.94'), 'E', 7)
(66L, 19L, 'DESF      ', None, 'O', 2)
(54L, 17L, 'BROTEPI   ', None, 'O', 3)
(986L, 159L, 'EXU       ', Decimal('0.19'), 'O', 3)
(987L, 159L, 'CANCROS   ', Decimal('0.19'), 'E', 4)
(988L, 159L, 'RAJ       ', Decimal('0.19'), 'O', 5)
(82L, 20L, 'BOTRYTIS  ', None, 'E', 1)
(89L, 21L, 'DESF      ', None, 'O', 1)
(85L, 16L, 'GONIPTE   ', Decimal('0.97'), 'P', 11)
(321L, 15L, 'DESF      ', Decimal('0.91'), 'O', 1)
(322L, 15L, 'EXU       ', Decimal('0.67'), 'O', 2)
(323L, 15L, 'GONIPTE   ', Decimal('0.74'), 'P', 3)
(324L, 15L, 'BROTEPI   ', Decimal('0.94'), 'O', 4)
(95L, 22L, 'SEQ       ', None, 'O', 1)
(96L, 22L, 'FUE       ', None, 'O', 2)
(146L, 25L, 'DESF      ', Decimal('0.43'), 'O', 1)
(98L, 22L, 'EXU       ', None, 'O', 4)
(99L, 22L, 'CTENARY   ', None, 'P', 5)
(157L, 23L, 'HOR       ', None, 'P', 11)
(121L, 22L, 'PATO FOLI ', None, 'E', 16)
(102L, 22L, 'HOR       ', None, 'P', 8)
(103L, 22L, 'PHORACA   ', None, 'P', 9)
(104L, 22L, 'DA\xd1AN     ', None, 'O', 10)
(105L, 22L, 'PUCCINIA  ', None, 'E', 11)
(326L, 26L, 'BROTEPI   ', Decimal('0.78'), 'O', 2)
(108L, 22L, 'CONYOTH   ', None, 'E', 12)
(327L, 26L, 'EXU       ', Decimal('0.94'), 'O', 3)
(328L, 26L, 'GONIPTE   ', Decimal('4.06'), 'P', 4)
(330L, 51L, 'DESF      ', Decimal('100.00'), 'O', 1)
(112L, 20L, 'DESF      ', None, 'O', 11)
(113L, 22L, 'DESF      ', Decimal('4.33'), 'O', 13)
(334L, 55L, 'DESF      ', Decimal('100.00'), 'O', 1)
(335L, 56L, 'DESF      ', Decimal('100.00'), 'O', 1)
(116L, 22L, 'VEN       ', Decimal('4.33'), 'O', 14)
(117L, 23L, 'EXU       ', None, 'O', 1)
(336L, 56L, 'BROTEPI   ', Decimal('8.00'), 'O', 2)
(337L, 57L, 'DESF      ', Decimal('100.00'), 'O', 1)
(120L, 22L, 'BROTEPI   ', None, 'O', 15)
(122L, 23L, 'BROTEPI   ', None, 'O', 2)
(123L, 23L, 'CARPOFO   ', None, 'E', 3)
(147L, 25L, 'BROTEPI   ', Decimal('0.19'), 'O', 2)
(148L, 23L, 'VEN       ', None, 'O', 10)
(989L, 159L, 'GONIPTE   ', Decimal('0.54'), 'P', 6)
(990L, 159L, 'VEN       ', Decimal('0.56'), 'O', 7)
(996L, 163L, 'DESF      ', Decimal('0.37'), 'O', 1)
(997L, 163L, 'BROTEPI   ', Decimal('0.33'), 'O', 2)
(998L, 163L, 'EXU       ', Decimal('0.45'), 'O', 3)
(154L, 25L, 'EXU       ', Decimal('0.43'), 'O', 8)
(999L, 163L, 'RAJ       ', Decimal('0.45'), 'O', 4)
(158L, 23L, 'PHORACA   ', None, 'P', 12)
(1000L, 163L, 'CANCROS   ', Decimal('0.45'), 'E', 5)
(160L, 25L, 'DA\xd1AN     ', None, 'O', 12)
(1001L, 163L, 'CTENARY   ', Decimal('0.22'), 'P', 6)
(1002L, 163L, 'GONIPTE   ', Decimal('0.47'), 'P', 7)
(1003L, 163L, 'PHORACA   ', Decimal('0.02'), 'P', 8)
(164L, 18L, 'PANTOEA   ', None, 'E', 8)
(1004L, 163L, 'PATO FOLI ', Decimal('0.35'), 'E', 9)
(1005L, 163L, 'MUEDES    ', Decimal('0.02'), 'O', 10)
(1014L, 167L, 'DESF      ', Decimal('0.33'), 'O', 1)
(168L, 27L, 'DESF      ', Decimal('0.46'), 'O', 1)
(338L, 58L, 'DESF      ', Decimal('100.00'), 'O', 1)
(339L, 58L, 'SEQ       ', Decimal('44.00'), 'O', 2)
(215L, 29L, 'EXU       ', Decimal('0.39'), 'O', 9)
(216L, 30L, 'CTENARY   ', None, 'P', 1)
(217L, 30L, 'GLYCASP   ', None, 'P', 2)
(218L, 30L, 'GONIPTE   ', None, 'P', 3)
(219L, 30L, 'HOR       ', None, 'P', 4)
(220L, 30L, 'PHORACA   ', None, 'P', 5)
(221L, 30L, 'DA\xd1AN     ', None, 'O', 6)
(222L, 30L, 'PUCCINIA  ', None, 'E', 7)
(223L, 30L, 'PATO FOLI ', None, 'E', 8)
(224L, 30L, 'PANTOEA   ', None, 'E', 9)
(225L, 30L, 'CONYOTH   ', None, 'E', 10)
(226L, 30L, 'MUEDES    ', None, 'O', 11)
(273L, 34L, 'EXU       ', None, 'O', 2)
(1015L, 167L, 'BROTEPI   ', Decimal('0.22'), 'O', 2)
(285L, 36L, 'DESF      ', Decimal('100.00'), 'O', 1)
(364L, 64L, 'DESF      ', Decimal('6.25'), 'O', 1)
(250L, 33L, 'DESF      ', None, 'O', 1)
(251L, 32L, 'DESF      ', Decimal('1.49'), 'O', 1)
(275L, 34L, 'PATO FOLI ', None, 'E', 4)
(365L, 64L, 'EXU       ', Decimal('1.42'), 'O', 2)
(278L, 31L, 'GONIPTE   ', None, 'P', 16)
(279L, 31L, 'PATO FOLI ', None, 'E', 17)
(280L, 33L, 'BROTEPI   ', None, 'O', 8)
(286L, 37L, 'DESF      ', None, 'O', 1)
(287L, 38L, 'DESF      ', Decimal('100.00'), 'O', 1)
(366L, 64L, 'MUEDES    ', Decimal('0.28'), 'O', 3)
(367L, 65L, 'DESF      ', Decimal('3.92'), 'O', 1)
(369L, 65L, 'EXU       ', Decimal('2.31'), 'O', 2)
(298L, 45L, 'BROTEPI   ', Decimal('4.00'), 'O', 1)
(299L, 45L, 'EXU       ', None, 'O', 2)
(301L, 46L, 'DESF      ', Decimal('100.00'), 'O', 1)
(305L, 28L, 'VEN       ', Decimal('1.05'), 'O', 3)
(306L, 28L, 'EXU       ', Decimal('0.41'), 'O', 4)
(307L, 28L, 'GONIPTE   ', Decimal('1.03'), 'P', 5)
(308L, 16L, 'VEN       ', Decimal('0.99'), 'O', 15)
(309L, 16L, 'CARPOFO   ', Decimal('0.99'), 'E', 16)
(310L, 16L, 'PATO FOLI ', Decimal('0.99'), 'E', 17)
(13L, 13L, 'SEQ       ', Decimal('0.00'), 'O', 5)
(14L, 13L, 'FUE       ', Decimal('0.00'), 'O', 6)
(15L, 13L, 'HEL       ', None, 'O', 7)
(31L, 14L, 'DESF      ', Decimal('0.37'), 'O', 1)
(370L, 65L, 'CTENARY   ', Decimal('4.84'), 'P', 3)
(1016L, 167L, 'EXU       ', Decimal('0.35'), 'O', 3)
(185L, 27L, 'DA\xd1AN     ', None, 'O', 14)
(1017L, 167L, 'RAJ       ', Decimal('0.35'), 'O', 4)
(188L, 27L, 'PATO FOLI ', Decimal('0.60'), 'E', 16)
(371L, 65L, 'GONIPTE   ', Decimal('4.61'), 'P', 4)
(372L, 65L, 'PUCCINIA  ', Decimal('4.84'), 'E', 5)
(373L, 65L, 'PATO FOLI ', Decimal('4.84'), 'E', 6)
(1018L, 167L, 'CANCROS   ', Decimal('0.35'), 'E', 5)
(1019L, 167L, 'CTENARY   ', Decimal('0.18'), 'P', 6)
(274L, 34L, 'DESF      ', None, 'O', 3)
(374L, 65L, 'MUEDES    ', None, 'O', 7)
(290L, 41L, 'DESF      ', Decimal('100.00'), 'O', 1)
(882L, 28L, 'DESF      ', Decimal('1.04'), 'O', 6)
(883L, 28L, 'BROTEPI   ', Decimal('0.17'), 'O', 7)
(16L, 13L, 'OTROS EU  ', None, 'E', 8)
(17L, 13L, 'EXU       ', None, 'O', 9)
(18L, 13L, 'CTENARY   ', None, 'P', 10)
(19L, 13L, 'GLYCASP   ', None, 'P', 11)
